Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
138,109300,66710,Gettysburg College,Gettysburg,PA,Private,,2615,15415,29795,46,2411,0,,,,,,,www.gettysburg.edu,,,
139,106500,42048,"North Carolina State University, Raleigh",Raleigh,NC,Public,,34432,16496,10998,51,26961,28.5,,1230,1390,26,31,,www.ncsu.edu,,,
140,105100,65376,University of Denver,Denver,CO,Private,,11434,17131,26702,58,6080,27.5,,1160,1350,25,30,,www.du.edu,,,
141,112500,72239,Fordham University,Bronx,NY,Private,,16037,14505,27530,46,10137,29,,1230,1410,27,31,,www.fordham.edu,,,
142,109400,65426,University of San Diego,San Diego,CA,Private,,8905,15376,24364,50,6177,28,,1180,1350,26,30,,www.sandiego.edu,,,
143,102900,56880,Trinity University (TX),San Antonio,TX,Private,,2571,18377,26174,38,2406,29.5,,1230,1410,27,32,,web.trinity.edu,,,
144,100400,44812,University of Pittsburgh,Pittsburgh,PA,Public,,28642,19935,12484,60,20822,29.5,,1240,1418,27,32,,www.pitt.edu,,,
145,109600,40980,"Binghamton University, SUNY",Binghamton,NY,Public,,17351,15368,8062,40,14736,29.5,,1290,1431,28,31,,www.binghamton.edu,,,
146,109900,54312,"University of Colorado, Boulder",Boulder,CO,Public,,35338,15103,9787,80,30976,27.5,,1150,1340,25,30,,www.colorado.edu,,,
147,105400,47782,University of Delaware,Newark,DE,Public,,23774,16975,8798,63,20550,27,,1130,1330,25,29,,www.udel.edu,,,
148,98700,62970,Texas Christian University,Fort Worth,TX,Private,,10489,20695,24864,41,9258,27.5,,1130,1330,25,30,,www.tcu.edu,,,
149,101800,45897,College of New Jersey,Ewing,NJ,Public,,7552,18792,9936,48,7212,0,,1170,1330,,,,tcnj.edu,,,
150,97800,61538,Rhodes College,Memphis,TN,Private,,2102,21288,30234,51,2010,29.5,,1220,1410,27,32,,www.rhodes.edu,,,
151,92700,34904,Florida State University,Tallahassee,FL,Public,,41362,24433,6628,49,36787,28,,1190,1330,26,30,,www.fsu.edu,,,
152,139900,67204,Stevens Institute of Technology,Hoboken,NJ,Private,,6916,8519,25762,44,3144,31,,1320,1470,29,33,,www.stevens.edu/sit,,,
153,104800,64970,Denison University,Granville,OH,Private,,2341,17344,30783,37,2290,29.5,,1200,1380,28,31,,denison.edu,,,
154,97800,60950,Sewanee—University of the South,Sewanee,TN,Private,,1835,21227,23449,47,1778,0,,,,,,,www.sewanee.edu,,,
155,103000,48135,"University of Massachusetts, Amherst",Amherst,MA,Public,,30340,18146,8867,58,26735,28.5,,1180,1360,26,31,,www.umass.edu,,,
156,104800,65480,Syracuse University,Syracuse,NY,Private,,28199,17396,27878,47,22484,27.5,,1160,1350,25,30,,syracuse.edu,,,
157,96100,70266,Sarah Lawrence College,Bronxville,NY,Private,,1696,22351,28916,53,1470,29,,1240,1410,27,31,,www.slc.edu,,,
