Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
589,83600,35236,Central Michigan University,Mount Pleasant,MI,Public,,23257,33738,8624,68,20786,23.5,,1010,1200,20,27,,www.cmich.edu,,,
590,90300,35510,"University of Wisconsin, Milwaukee",Milwaukee,WI,Public,,24988,26606,5647,72,24337,22.5,,,,20,25,,www.uwm.edu,,,
591,87500,32105,Bowling Green State University,Bowling Green,OH,Public,,17357,29211,6542,73,16592,21.5,,990,1230,19,24,,www.bgsu.edu,,,
592,83400,29683,Texas Woman's University,Denton,TX,Public,,15473,34173,8426,86,12020,20,,890,1080,17,23,,www.twu.edu,,,
593,88500,42725,University of Mount Union,Alliance,OH,Private,,2257,28229,17954,81,2195,22.5,,980,1200,20,25,,www.mountunion.edu,,,
594,80200,45900,Clarke University,Dubuque,IA,Private,,1039,36620,17474,63,845,22.5,,970,1148,20,25,,www.clarke.edu,,,
595,85400,57250,Carthage College,Kenosha,WI,Private,,2940,31492,26379,68,2860,24,,1040,1300,21,27,,www.carthage.edu,,,
596,88400,53000,Centenary College of Louisiana,Shreveport,LA,Private,,588,28274,26633,62,501,25,,1030,1210,22,28,,www.centenary.edu,,,
597,87300,32716,Wichita State University,Wichita,KS,Public,,15075,29735,5793,94,12704,23.5,,1000,1275,20,27,,www.wichita.edu,,,
598,83400,37028,Aurora University,Aurora,IL,Private,,5833,34212,15909,87,4248,21,,950,1130,19,23,,www.aurora.edu,,,
599,81900,50086,Georgetown College (KY),Georgetown,KY,Private,,1767,35298,29107,67,1051,23,,,,20,26,,https://www.georgetowncollege.edu,,,
600,83100,36806,Western Kentucky University,Bowling Green,KY,Public,,21431,34459,7295,95,20257,23,,970,1180,19,27,,www.wku.edu,,,
601,91700,40763,Wayne State University,Detroit,MI,Public,,27064,25020,9682,67,20314,24.5,,1000,1210,21,28,,wayne.edu,,,
602,81500,35144,Western Colorado University,Gunnison,CO,Public,,3343,35429,6195,86,2814,22.5,,990,1200,20,25,,www.western.edu,,,
603,83500,35465,Rhode Island College,Providence,RI,Public,,8318,34032,6877,74,8171,18.5,,880,1090,15,22,,www.ric.edu,,,
604,94000,29912,Weber State University,Ogden,UT,Public,,32248,23672,4579,100,27949,0,,,,,,,www.weber.edu,,,
605,73700,46080,Salem College,Winston-Salem,NC,Private,,984,43488,25354,57,968,26,,1020,1300,23,29,,www.salem.edu,,,
606,92100,36955,"University of Texas, El Paso",El Paso,TX,Public,,25078,24814,9183,100,24386,19,,920,1130,16,22,,www.utep.edu,,,
607,99301,55168,Spring Hill College,Mobile,AL,Private,,1485,0,29825,46,1442,23.5,,1025,1185,21,26,,www.shc.edu,,,
608,79700,54155,Sweet Briar College,Sweet Briar,VA,Private,,406,37074,30802,93,323,24,,993,1180,20,28,,sbc.edu,,,
609,92500,34375,University of Toledo,Toledo,OH,Public,,20579,24628,8050,94,18077,23,,1020,1240,20,26,,www.utoledo.edu,,,
610,87800,38356,University of Montana,Missoula,MT,Public,,11865,29032,5404,93,11671,23.5,,1060,1270,21,26,,www.umt.edu,,,
611,83900,34155,Southeastern Louisiana University,Hammond,LA,Public,,16512,33358,7250,88,14285,21.5,,,,19,24,,www.selu.edu,,,
612,86400,28210,University of South Alabama,Mobile,AL,Public,,15569,30421,6927,82,12848,23,,1010,1200,20,26,,www.southalabama.edu,,,
613,79900,37870,Murray State University,Murray,KY,Public,,10012,37065,8426,87,9916,24,,980,1190,21,27,,www.murraystate.edu,,,
614,78600,43450,Anderson University (IN),Anderson,IN,Private,,1961,38695,17790,65,1877,22,,910,1110,19,25,,anderson.edu,,,
615,81700,31895,University of West Florida,Pensacola,FL,Public,,13040,35316,5222,50,12449,24.5,,1080,1240,22,27,,uwf.edu,,,
616,91600,28568,University of New Orleans,New Orleans,LA,Public,,8082,25117,8151,57,7964,22.5,,1030,1250,20,25,,www.uno.edu,,,
617,85900,32461,Indiana University of Pennsylvania,Indiana,PA,Public,,12431,30504,6772,91,12003,20,,910,1120,17,23,,ww.iup.edu,,,
618,99227,36000,North Greenville University,Tigerville,SC,Private,,2565,0,15812,61,2356,23.5,,930,1270,19,28,,www.ngu.edu,,,
619,87500,34484,University of Texas at San Antonio,San Antonio,TX,Public,,30768,29416,8177,79,27880,22.5,,1030,1210,20,25,,www.utsa.edu,,,
620,83400,47664,Millikin University,Decatur,IL,Private,,2132,34159,23312,65,2040,22.5,,1080,1260,19,26,,www.millikin.edu/Pages/default.aspx,,,
621,95500,38314,Northern Illinois University,DeKalb,IL,Public,,18045,22844,9482,53,15429,21.5,,,,19,24,,www.niu.edu/index.shtml,,,
622,88600,30825,Cleveland State University,Cleveland,OH,Public,,16371,28005,7096,90,14594,22,,990,1210,19,25,,www.csuohio.edu,,,
623,89000,36601,Humboldt State University,Arcata,CA,Public,,8602,27544,9038,82,8525,21,,960,1160,18,24,,www.humboldt.edu,,,
624,88100,47970,Monmouth College,Monmouth,IL,Private,,1205,28423,27809,67,1033,22.5,,900,1090,20,25,,www.monmouthcollege.edu,,,
625,93200,44488,St. Francis College,Brooklyn,NY,Private,,2745,24231,15533,63,2362,22,,950,1120,20,24,,www.sfc.edu,,,
626,82200,55050,Elmira College,Elmira,NY,Private,,1135,35100,26883,85,1012,0,,,,,,,www.elmira.edu,,,
627,83900,24883,University of Southern Mississippi,Hattiesburg,MS,Public,,14478,33382,9292,98,13606,22.5,,,,19,26,,home.usm.edu,,,
628,99111,39120,Lyon College,Batesville,AR,Private,,705,1886,18534,64,672,25,,1030,1234,22,28,,www.lyon.edu,,,
629,90900,42770,Southern Illinois University Carbondale,Carbondale,IL,Public,,14554,25898,10924,76,13518,23,,920,1330,20,26,,siu.edu,,,
630,83100,34046,Kent State University Kent Campus,Kent,OH,Public,,28972,34240,7306,88,27376,23,,1040,1220,21,25,,www.kent.edu,,,
631,81100,40458,Middle Tennessee State University,Murfreesboro,TN,Public,,23050,35694,8607,59,21913,22.5,,990,1210,20,25,,www.mtsu.edu,,,
632,74600,49744,Warren Wilson College,Asheville,NC,Private,,695,41858,19414,79,661,27,,1140,1285,25,29,,www.warren-wilson.edu/external_index.php,,,
633,87400,32136,Northern Kentucky University,Highland Heights,KY,Public,,14456,29520,8295,90,14141,23,,993,1210,20,26,,www.nku.edu,,,
634,85900,25835,Western Illinois University,Macomb,IL,Public,,9656,30502,9239,60,9441,20.5,,,,18,23,,www.wiu.edu,,,
635,101000,39902,"University of Alaska, Anchorage",Anchorage,AK,Public,,23824,19454,6207,83,15733,0,,,,,,,www.uaa.alaska.edu,,,
636,82600,36843,Fort Lewis College,Durango,CO,Public,,3925,34898,10850,83,3332,22.5,,1020,1210,20,25,,www.fortlewis.edu,,,
637,98852,55625,Marlboro College,Marlboro,VT,Private,,390,3901,33054,97,185,0,,,,,,,www.marlboro.edu,,,
638,87800,32506,Wright State University,Dayton,OH,Public,,15957,29086,6546,97,14332,22,,980,1270,19,25,,https://www.wright.edu,,,
639,84100,47757,Hiram College,Hiram,OH,Private,,1221,33183,23318,64,1200,21,,940,1200,18,24,,www.hiram.edu,,,
640,85800,36372,University of Memphis,Memphis,TN,Public,,21521,30974,8960,85,19875,22,,1010,1230,19,25,,www.mephis.edu,,,
641,80700,31978,Eastern Kentucky University,Richmond,KY,Public,,16612,36306,8234,87,16155,22.5,,960,1130,20,25,,www.eku.edu,,,
642,83600,37070,Fisk University,Nashville,TN,Private,,738,33570,9396,45,701,19,,940,1260,16,22,,www.fisk.edu/Home.aspx,,,
643,75600,50813,Guilford College,Greensboro,NC,Private,,2050,40819,22964,91,1680,0,,,,,,,www.guilford.edu,,,
644,76500,40640,Carson-Newman University,Jefferson City,TN,Private,,2514,40376,20126,67,1934,23,,940,1150,20,26,,www.cn.edu,,,
645,98700,48723,Morehouse College,Atlanta,GA,Private,,2219,20706,17318,74,2202,20.5,,950,1160,18,23,,https://www.morehouse.edu,,,
646,96700,34720,New Mexico State University,Las Cruces,NM,Public,,14432,22005,9582,64,13379,20.5,,910,1160,18,23,,www.nmsu.edu,,,
647,85600,32938,Indiana State University,Terre Haute,IN,Public,,13763,31331,9297,85,13626,20,,900,1110,17,23,,www.indstate.edu,,,
648,70700,48100,Emory &amp; Henry College,Emory,VA,Private,,1226,47270,27155,72,1094,22,,988,1170,19,25,,www.ehc.edu,,,
649,99028,55180,Wells College,Aurora,NY,Private,,516,2695,30207,80,488,0,,,,,,,www.wells.edu,,,
650,78100,44921,Catawba College,Salisbury,NC,Private,,1463,38741,23662,42,1336,20.5,,930,1100,18,23,,www.catawba.edu,,,
